Lab01,SCORE_GRADE_TYPE,,,,,
,,,,,,
Display ID,ID,Last Name,First Name,Lab01 Installing,Submission date,Late submission
y1kc02,y1kc02,Last,First,1,,
wgpgtf,wgpgtf,Last,First,1,,
ojl8oa,ojl8oa,Last,First,1,,
bpp2rn,bpp2rn,Last,First,0,,
2mq67l,2mq67l,Last,First,1,,
00antr,00antr,Last,First,1,,
ppu0gl,ppu0gl,Last,First,1,,
3zldk4,3zldk4,Last,First,1,,
erji5y,erji5y,Last,First,1,,
lrrrrq,lrrrrq,Last,First,1,,
qzlji9,qzlji9,Last,First,1,,
zrkzui,zrkzui,Last,First,1,,
xc2w2n,xc2w2n,Last,First,1,,
ohh9l1,ohh9l1,Last,First,1,,
8q6qc1,8q6qc1,Last,First,1,,
91alp8,91alp8,Last,First,1,,
1inud5,1inud5,Last,First,1,,
2yejgz,2yejgz,Last,First,1,,
1xnwkj,1xnwkj,Last,First,1,,
8a7b3t,8a7b3t,Last,First,1,,
v5rid7,v5rid7,Last,First,1,,
c0gx5p,c0gx5p,Last,First,1,,
pa4stg,pa4stg,Last,First,1,,
l4aukx,l4aukx,Last,First,1,,
n760je,n760je,Last,First,1,,
b1glcw,b1glcw,Last,First,1,,
289l65,289l65,Last,First,1,,
im4k4t,im4k4t,Last,First,1,,
tbhxrz,tbhxrz,Last,First,1,,
tryl6y,tryl6y,Last,First,1,,
y7x33h,y7x33h,Last,First,1,,
x6abo5,x6abo5,Last,First,1,,
8t2im4,8t2im4,Last,First,0,,
fmts63,fmts63,Last,First,1,,
7punsx,7punsx,Last,First,1,,
l1cvlf,l1cvlf,Last,First,1,,
0bah0h,0bah0h,Last,First,1,,
yqybbg,yqybbg,Last,First,1,,
zv75kn,zv75kn,Last,First,1,,
nidqnq,nidqnq,Last,First,1,,
02zrlt,02zrlt,Last,First,1,,
whpey4,whpey4,Last,First,1,,
q8hvbc,q8hvbc,Last,First,1,,
65ky66,65ky66,Last,First,1,,
pyyn5n,pyyn5n,Last,First,1,,
ekmc6x,ekmc6x,Last,First,1,,
xskpjp,xskpjp,Last,First,0,,
ahdhlk,ahdhlk,Last,First,1,,
jxlj2n,jxlj2n,Last,First,1,,
h09fsm,h09fsm,Last,First,1,,
yjplkj,yjplkj,Last,First,1,,
qo9pxu,qo9pxu,Last,First,1,,
rwynyc,rwynyc,Last,First,1,,
3b60ai,3b60ai,Last,First,1,,
re6z9x,re6z9x,Last,First,1,,
f3pvv5,f3pvv5,Last,First,0,,
3g6puk,3g6puk,Last,First,1,,
